Perioden;Misdrijven, totaal;1 Vermogensmisdrijven;11 Diefstal/verduistering en inbraak;111 Diefstal en inbraak met geweld;112 Diefstal en inbraak zonder geweld;12 Bedrog;121 Oplichting;122 Flessentrekkerij;123 Bedrog (overig);13 Valsheidsmisdrijven;131 Muntmisdrijf;132 Valsheid in zegels en merken;133 Valsheid in geschriften;14 Heling;15 Afpersing en afdreiging;16 Bankbreuk;17 Witwassen;18 Vermogensmisdrijf (overig);2 Vernielingen,misdropenborde/gezag;21 Vernieling en beschadiging;211 Vernieling aan auto;212 Vernieling aan openbaar gebouw;213 Vernieling middel openb vervoer;215 Vernieling, beschadiging (overig);22 Openbare orde misdrijf;221 Openlijke geweldpleging;2211 Openlijk geweld tegen persoon;2212 Openlijke geweld tegen goed;222 Huisvredebreuk;223 Lokaalvredebreuk;224 Computervredebreuk;225 Discriminatie;226 Openbare orde misdrijf (overig);23 Brandstichting / ontploffing;24 Openbaar gezag misdrijf;241 Niet opvolgen van ambtelijk bevel;242 Wederspannigheid;243 Valse aangifte;245 Verblijf ongewenste vreemdeling;246 Openbaar gezag misdrijf (overig);3 Gewelds- en seksuele misdrijven;31 Mishandeling;32 Bedreiging en stalking;321 Bedreiging;322 Stalking;33 Seksueel misdrijf;331 Aanranding;332 Verkrachting;333 Schennis der eerbaarheid;334 Ontucht met minderjarige;335 Pornografie;336 Ontucht met misbruik van gezag;337 Seksueel misdrijf (overig);34 Levensmisdrijf;35 Vrijheidsbeneming/gijzeling;36 Mensenhandel en 244 mensensmokkel;37 Geweldsmisdrijf (overig);4 Misdrijven WvSr (overig);5 Verkeersmisdrijven;51 Verlaten plaats ongeval;52 Rijden onder invloed;53 Rijden tijdens ontzegging besturen;54 Rijden tijdens rijverbod;55 Voeren vals kenteken;56 Joyriding;57 Weigeren blaastest/bloedonderzoek ed;58 Verkeersmisdrijf (overig);6 Drugsmisdrijven;61 Harddrugs;62 Softdrugs;6.3 Drugsmisdrijf (overig);7 Vuurwapenmisdrijven;9 Misdrijven overige wetten;91 Militaire misdrijven;92 Misdrijven (overig)
2010;1200825;715555;670470;16290;654180;27845;27010;525;310;9845;1205;175;8465;5965;1010;85;335;0;185955;151155;69950;11790;2000;67415;21620;9150;7095;2060;2490;670;1070;440;7795;7115;6065;3905;1155;470;255;280;115815;61445;38075;34350;3725;9720;2495;1645;2015;1055;575;575;1360;4105;655;705;1115;10855;143915;87820;47525;2670;135;845;360;390;4175;18030;8255;8620;1155;6500;4195;75;4120
2011;1206565;723155;677970;15590;662380;25590;24845;490;255;11715;965;180;10565;6250;1035;140;455;0;182190;148570;67740;8255;2305;70265;20880;8270;6500;1770;2605;535;2025;340;7105;6995;5745;3610;1090;515;255;275;114055;60455;37725;34135;3595;9130;2190;1570;1940;850;570;560;1450;4230;580;720;1215;11690;146710;90780;46890;2675;145;865;340;415;4605;17130;7615;8425;1095;7405;4230;70;4160
2012;1154950;704250;656450;14945;641505;27630;26845;535;250;12050;1130;215;10705;6335;1100;190;495;0;162415;133515;60440;2285;2095;68690;17695;7150;5625;1525;2635;430;4620;305;2550;6120;5085;3090;1120;490;150;235;110470;57585;37335;33740;3595;9055;2075;1450;1875;1085;635;580;1360;3890;605;785;1215;11785;136925;85975;41140;3730;150;825;335;355;4415;17580;7870;8860;850;7045;4480;55;4425
2013;1105565;690610;650650;13350;637300;21965;21240;510;215;9575;1425;190;7960;6305;1370;115;640;0;141135;117920;54615;2015;1040;60255;13500;5900;4790;1110;2605;405;2535;330;1715;5330;4385;2495;1005;515;155;220;103510;53445;35770;32315;3455;8550;1950;1245;1700;1025;785;615;1230;3525;525;590;1100;11290;131335;85410;36205;3955;115;750;305;330;4270;17035;7470;9070;495;6520;4130;45;4085
2014;1025630;631450;592590;10455;582135;19735;19015;475;240;9850;1915;205;7730;6940;1515;170;655;0;135400;109995;50215;1775;925;57080;15645;5350;4315;1035;2675;430;2045;3465;1685;5045;4715;2785;980;525;175;245;98545;50905;33920;30605;3315;8190;1820;1220;1590;1045;690;565;1255;3370;415;625;1115;12020;122150;79835;32280;4175;135;715;270;335;4400;16310;7715;8195;400;5875;3880;60;3820
2015;978945;614050;549105;9730;539370;37410;35530;185;1690;18415;2430;250;15730;6735;1635;180;570;0;122835;101845;47705;1455;815;51870;11675;4845;3955;890;2330;425;2225;450;1400;4900;4415;2400;850;465;470;230;92475;48280;31120;28115;3005;7730;1720;1265;1445;875;660;565;1195;3255;440;625;1035;11000;114735;78340;27230;3840;95;615;280;310;4025;14770;7390;7005;375;5545;3530;40;3490
2016;930325;576445;498285;8990;489295;45150;42235;5;2915;24710;1980;250;22480;5845;1665;180;610;0;115525;94525;43910;1365;1100;48145;11245;4490;3735;750;2535;430;1875;565;1350;4800;4955;2965;890;450;370;280;90200;46990;29690;26760;2930;8235;2220;1535;1380;860;445;530;1265;3120;420;730;1020;11210;114830;78750;26475;4215;90;660;300;380;3955;13275;6760;6295;220;5415;3425;30;3395
2017;832950;502510;428135;7985;420155;39405;37000;0;2400;27380;1600;195;25580;5255;1520;115;695;0;102085;81535;37760;1135;1380;41260;11165;4465;3820;645;2340;365;2320;405;1270;4700;4685;2895;780;390;310;310;85335;44760;27040;24220;2820;8425;2210;1760;1275;875;425;550;1325;3010;400;725;975;10525;111865;76930;25775;4310;70;640;250;340;3555;12525;6570;5740;215;4740;3370;20;3350
2018;786420;457825;380320;7785;372535;41425;39340;5;2080;27725;1445;185;26095;5570;1765;110;900;5;93450;72110;32790;920;850;37555;11540;4205;3660;550;2565;325;2945;415;1085;4635;5160;2905;1330;345;190;395;83325;43020;26070;23100;2970;9120;2385;1940;1300;930;390;685;1495;2870;425;875;945;10895;118285;79210;28945;4700;90;705;255;545;3830;13370;7050;6140;180;5470;3805;25;3780
2019;821905;473705;374790;8595;366195;53005;51045;0;1955;36225;1540;170;34515;6410;1785;110;1380;0;102400;76960;34420;885;865;40790;14110;4495;3820;680;2915;325;4865;495;1020;4770;6565;3370;2015;415;100;660;83960;42615;27445;23410;4035;8335;2250;2055;1070;1015;540;705;695;2660;515;1360;1030;11475;125500;81345;33295;4995;105;775;310;650;4025;14700;7820;6690;195;6580;3580;20;3560
2020;813150;471585;330095;7305;322795;60375;58460;0;1915;70665;1130;200;69335;6130;2260;110;1945;0;109040;78340;32610;940;1010;43780;19415;3595;2970;630;2885;260;11270;520;880;5095;6185;2900;1965;350;70;900;80235;38295;28785;24390;4400;8090;1955;2065;1235;910;410;770;750;2750;520;765;1030;12295;115575;72900;29625;6670;150;940;270;750;4270;13285;6960;6160;165;6820;4320;5;4310
2021;758065;419690;287095;5545;281545;52930;51145;0;1780;69370;720;240;68410;5545;2215;65;2475;0;106370;71690;28965;795;810;41120;23430;4250;3390;860;2740;245;14645;555;1000;4150;7100;3375;2155;335;185;1045;76360;36390;26000;22360;3640;8785;2270;2405;1095;970;460;830;755;2735;460;800;1190;11720;120000;73020;31910;7420;210;880;255;1215;5090;12200;6540;5525;135;6995;4735;5;4730
2022;810550;448250;349045;5965;343080;43120;41585;5;1530;45780;400;180;45195;6605;2110;55;1540;0;105900;70810;28545;740;820;40705;24030;4610;4085;520;3280;345;14165;410;1225;4245;6820;3060;2355;270;190;940;80590;40960;24430;21240;3190;10125;3000;2905;1015;1060;525;800;820;2845;450;860;920;11495;140395;78665;42725;9870;320;965;250;2110;5490;12240;7335;4715;190;7090;4585;5;4575
2023;816375;464915;364080;6015;358060;51925;46935;5;4985;38185;310;150;37725;6870;2280;50;1530;0;103625;69960;28260;865;560;40275;22240;4530;4095;440;3475;420;12210;515;1095;4180;7250;3555;2270;200;160;1065;76195;39730;22365;19455;2910;9290;2570;2455;965;840;605;695;1160;2590;455;840;930;10415;135405;73985;42140;10465;330;855;230;2390;5010;14335;8755;5395;185;7005;4480;15;4465
2024;811885;464095;358525;6335;352195;63760;53035;5;10720;32145;340;185;31625;6195;1910;85;1475;0;102485;72130;30240;1130;895;39860;17470;4595;4205;395;3975;285;7065;515;1030;5130;7755;3885;2430;180;150;1105;78010;40350;22965;19880;3085;9890;2440;2655;935;1615;635;285;1325;2540;490;770;1000;10165;131345;72340;41635;9390;380;945;280;2705;3665;15300;8945;6185;165;7310;3175;15;3160
