Perioden,Totaal,Geweldsmisdrijven,Vermogensmisdrijven,Vernielingen
2000,1426710,101315,954445,207585
2001,1481500,112450,982175,210865
2002,1505135,115790,988570,215235
2003,1470760,118015,938450,209770
2004,1417040,121355,869130,221790
2005,1348285,122470,792350,230530
2006,1311770,123730,747925,234420
2007,1303835,125190,725515,242835
2008,1277775,120335,721385,233030
2009,1254480,120335,724065,213055
2010,1200825,115815,715555,185955
2011,1206565,114055,723155,182190
2012,1154950,110470,704250,162415
2013,1105565,103510,690610,141135
2014,1025630,98545,631450,135400
2015,978945,92475,614050,122835
2016,930325,90200,576445,115525
2017,832950,85335,502510,102085
2018,786420,83325,457825,93450
2019,821905,83960,473705,102400
2020,813150,80235,471585,109040
2021,758065,76360,419690,106370
2022,810550,80590,448250,105900
2023,816375,76195,464915,103625
2024,811885,78010,464095,102485